City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bethel,41.3712,-73.414,33.89,64,0,9.22,US,2022-12-14 21:50:30
68,Peleduy,59.6289,112.7406,-8.1,96,100,6.76,RU,2022-12-14 21:50:31
69,Sale,34.0389,-6.8166,62.64,100,75,19.57,MA,2022-12-14 21:48:27
70,Thompson,55.7435,-97.8558,26.76,100,100,2.3,CA,2022-12-14 21:40:44
71,Kaohsiung,22.6163,120.3133,64.35,78,75,4.61,TW,2022-12-14 21:50:31
72,Mar Del Plata,-38.0023,-57.5575,87.82,35,0,17.27,AR,2022-12-14 21:42:25
73,Kapaa,22.0752,-159.319,79.12,80,75,14.97,US,2022-12-14 21:40:41
74,Wad Madani,14.4012,33.5199,75.56,35,73,9.24,SD,2022-12-14 21:50:32
75,Mount Isa,-20.7333,139.5,76.77,19,56,11.5,AU,2022-12-14 21:43:14
76,Lavrentiya,65.5833,-171.0,20.3,92,100,13.24,RU,2022-12-14 21:50:32
77,Southbridge,42.0751,-72.0334,34.93,69,0,5.99,US,2022-12-14 21:50:33
78,Vangaindrano,-23.35,47.6,70.56,93,99,2.91,MG,2022-12-14 21:50:33
79,Komsomolskiy,40.4272,71.7189,29.12,93,100,2.3,UZ,2022-12-14 21:50:33
80,Chuy,-33.6971,-53.4616,70.27,62,0,14.16,UY,2022-12-14 21:40:54
81,Hermanus,-34.4187,19.2345,67.8,87,95,4.59,ZA,2022-12-14 21:42:00
82,Raudeberg,61.9875,5.1352,29.95,82,100,7.16,NO,2022-12-14 21:50:34
83,Alta Floresta,-9.8756,-56.0861,73.83,92,100,3.36,BR,2022-12-14 21:50:35
84,Bath,51.3779,-2.3591,29.95,94,88,7.16,GB,2022-12-14 21:50:35
85,Atar,20.5169,-13.0499,76.57,25,0,6.17,MR,2022-12-14 21:44:43
86,Esso,55.9333,158.7,13.28,99,97,4.76,RU,2022-12-14 21:50:35
87,Toropets,56.4978,31.6353,16.86,89,69,9.64,RU,2022-12-14 21:50:36
88,Grass Valley,39.2191,-121.0611,50.59,70,0,3.0,US,2022-12-14 21:50:36
89,Ayan,56.45,138.1667,-15.2,92,100,26.91,RU,2022-12-14 21:50:37
90,Kiunga,-6.1219,141.2906,73.92,96,99,0.45,PG,2022-12-14 21:51:37
91,Nuuk,64.1835,-51.7216,14.0,68,96,7.61,GL,2022-12-14 21:51:37
92,Ewo,-0.8725,14.8206,72.84,75,17,2.33,CG,2022-12-14 21:51:38
93,Gayny,60.3071,54.3241,19.26,73,58,11.05,RU,2022-12-14 21:51:38
94,Lorengau,-2.0226,147.2712,81.28,82,99,7.76,PG,2022-12-14 21:43:18
95,San Vicente,-26.6167,-54.1333,76.15,53,57,3.42,AR,2022-12-14 21:51:39
96,Fairbanks,64.8378,-147.7164,-1.86,79,20,3.44,US,2022-12-14 21:49:06
97,Husavik,66.0449,-17.3389,15.26,84,89,9.86,IS,2022-12-14 21:51:39
98,Kargasok,59.0556,80.8572,-3.87,90,98,8.63,RU,2022-12-14 21:51:40
99,Axim,4.8699,-2.2405,79.36,84,4,9.4,GH,2022-12-14 21:51:40
100,Yerbogachen,61.2767,108.0108,-6.05,96,100,6.98,RU,2022-12-14 21:51:40
101,Las Choapas,17.9333,-94.0833,83.73,74,3,5.59,MX,2022-12-14 21:51:41
102,Homer,59.6425,-151.5483,33.67,93,100,8.05,US,2022-12-14 21:51:41
103,Veraval,20.9,70.3667,76.48,51,56,11.21,IN,2022-12-14 21:49:56
104,Faya,18.3851,42.4509,53.71,70,36,1.1,SA,2022-12-14 21:48:30
105,Norman Wells,65.282,-126.8329,-0.36,78,75,3.44,CA,2022-12-14 21:47:23
106,Arraial Do Cabo,-22.9661,-42.0278,75.16,64,40,10.36,BR,2022-12-14 21:42:02
107,Hasaki,35.7333,140.8333,36.0,43,98,3.71,JP,2022-12-14 21:47:19
108,Coahuayana,18.7333,-103.6833,83.55,52,2,6.62,MX,2022-12-14 21:42:17
109,Butaritari,3.0707,172.7902,80.89,76,82,5.99,KI,2022-12-14 21:42:12
110,Tuy Hoa,13.0833,109.3,68.72,88,97,8.72,VN,2022-12-14 21:43:22
111,La Ronge,55.1001,-105.2842,14.25,79,75,11.5,CA,2022-12-14 21:43:19
112,Umba,66.6871,34.3429,19.35,95,100,4.79,RU,2022-12-14 21:51:42
113,Lompoc,34.6391,-120.4579,62.78,60,0,8.05,US,2022-12-14 21:44:37
114,Blatnica,44.4864,17.8233,40.64,96,100,1.54,BA,2022-12-14 21:51:43
115,Upernavik,72.7868,-56.1549,22.3,79,100,8.28,GL,2022-12-14 21:44:44
116,Fortuna,40.5982,-124.1573,53.92,70,0,1.01,US,2022-12-14 21:42:14
117,Marathon,44.9,-89.7668,33.55,91,100,16.11,US,2022-12-14 21:51:43
